station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40900,Howard,1/1/2001,6233.9,3814.5,2408.6,164447
41190,Jarvis,1/1/2001,1489.1,1054,718,40567
40100,Morse,1/1/2001,4412.5,3064.5,2087.8,119772
41300,Loyola,1/1/2001,4664.5,3156,1952.8,125008
40760,Granville,1/1/2001,3109.8,2126,1453.8,84189
40880,Thorndale,1/1/2001,2977.7,1840.3,1262.6,79184
41380,Bryn Mawr,1/1/2001,4425.4,2708.3,1881.2,117597
40340,Berwyn,1/1/2001,3329.6,2050.8,1445.6,88683
41200,Argyle,1/1/2001,2745.5,1874.5,1268.2,74240
40770,Lawrence,1/1/2001,2689.6,1869,1227.8,72786
40540,Wilson,1/1/2001,4968.1,3069,1903.8,131094
40080,Sheridan,1/1/2001,4455.9,2625.8,1685.2,116958
41420,Addison-North Main,1/1/2001,4805.5,2893.5,1900.2,126797
41320,Belmont-North Main,1/1/2001,9075.5,6860.5,4241.4,248310
41220,Fullerton,1/1/2001,10121,5239.8,3116.2,259203
40650,North/Clybourn,1/1/2001,3525.6,2674.5,1772.8,97126
40630,Clark/Division,1/1/2001,6501.5,4726.5,3209,177985
41450,Chicago/State,1/1/2001,12311,9184.3,5658.6,335872
40330,Grand/State,1/1/2001,8378.5,5428,3504.8,223562
41660,Lake/State,1/1/2001,13360.8,5721.8,3575.8,334704
40500,Washington/State,1/1/2001,6805.1,2730.5,1386.6,167567
41090,Monroe/State,1/1/2001,7123,2439.3,1269.2,172809
40560,Jackson/State,1/1/2001,11340.2,3649,1877.6,273468
41490,Harrison,1/1/2001,2384.7,1208.3,715.4,60874
41400,Roosevelt,1/1/2001,5510.8,3170.3,2052,144179
41000,Cermak-Chinatown,1/1/2001,2396.3,2349.8,2066.6,72450
40190,Sox-35th-Dan Ryan,1/1/2001,3431.9,2124.3,1491.6,91457
41230,47th-Dan Ryan,1/1/2001,2297.6,1594.3,1121.2,62530
41170,Garfield-Dan Ryan,1/1/2001,4510.2,3181.5,1879.4,121347
